SalesOrderNumber,OrderDate,ProductKey,ResellerKey,EmployeeKey,SalesTerritoryKey,Quantity,Unit Price,Cost,Total Sales,Year,Quarter,Product,Standard Cost,Color,Subcategory,Category,Background Color Format,Font Color Format,Category ID,Subcategory ID,EmployeeID,Salesperson,Title,UPN,Region,Country,Group,Profit,Profit Margin,YYYYMM
SO49472,2019-03-08,354,187,282,4,2,1242.85,2235.71,2485.7,2019,1,"Mountain-200 Silver, 42",1117.86,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,249.98999999999978,10.057126765096342,2019-03
SO50702,2019-06-14,366,187,282,4,2,647.99,1196.87,1295.98,2019,2,"Mountain-300 Black, 44",598.44,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,99.11000000000013,7.647494560101246,2019-06
SO53531,2019-09-15,597,187,282,4,2,323.99,589.16,647.98,2019,3,"Mountain-500 Black, 42",294.58,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,58.82000000000005,9.077440661748827,2019-09
SO58975,2019-12-13,355,187,282,4,2,1391.99,2531.24,2783.98,2019,4,"Mountain-200 Silver, 42",1265.62,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,252.74000000000024,9.078369815875122,2019-12
SO65209,2020-03-10,551,187,282,4,2,158.43,289.19,316.86,2020,1,"LL Mountain Frame - Silver, 40",144.59,Silver,Mountain Frames,Components,#C0C0C0,#000000,1,3,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,27.670000000000016,8.732563277157109,2020-03
SO46625,2018-07-09,468,475,282,4,2,22.79,31.34,45.58,2018,3,"Full-Finger Gloves, S",15.67,Black,Gloves,Clothing,#000000,#FFFFFF,4,9,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,14.239999999999998,31.241772707327776,2018-07
SO47677,2018-10-05,354,475,282,4,2,1242.85,2235.71,2485.7,2018,4,"Mountain-200 Silver, 42",1117.86,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,249.98999999999978,10.057126765096342,2018-10
SO48758,2019-01-15,445,475,282,4,2,35.99,49.49,71.98,2019,1,"Men's Sports Shorts, S",24.75,Black,Shorts,Clothing,#000000,#FFFFFF,4,7,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,22.490000000000002,31.24479021950542,2019-01
SO49831,2019-04-04,445,475,282,4,2,35.99,49.49,71.98,2019,2,"Men's Sports Shorts, S",24.75,Black,Shorts,Clothing,#000000,#FFFFFF,4,7,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,22.490000000000002,31.24479021950542,2019-04
SO51090,2019-07-03,516,475,282,4,2,23.48,34.76,46.96,2019,3,ML Mountain Seat/Saddle,17.38,,Saddles,Components,#DCDCDC,#000000,1,33,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.200000000000003,25.97955706984668,2019-07
SO55249,2019-10-06,514,475,282,4,2,63.9,94.57,127.8,2019,4,Rear Brakes,47.29,Silver,Brakes,Components,#C0C0C0,#000000,1,32,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,33.230000000000004,26.001564945226917,2019-10
SO61218,2020-01-16,512,475,282,4,2,218.45,398.75,436.9,2020,1,"ML Mountain Frame-W - Silver, 42",199.38,Silver,Mountain Frames,Components,#C0C0C0,#000000,1,3,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,38.14999999999998,8.731975280384523,2020-01
SO67273,2020-04-07,295,475,282,4,2,818.7,1494.4,1637.4,2020,2,"HL Mountain Frame - Silver, 46",747.2,Silver,Mountain Frames,Components,#C0C0C0,#000000,1,3,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,143.0,8.733357762306095,2020-04
SO43873,2017-08-19,330,78,282,4,2,419.46,826.29,838.92,2017,3,"Road-650 Red, 52",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2017-08
SO44520,2017-11-13,316,78,282,4,2,874.79,1769.42,1749.58,2017,4,"Road-450 Red, 60",884.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-19.840000000000146,-1.1339864424604846,2017-11
SO45301,2018-02-15,322,78,282,4,2,419.46,826.29,838.92,2018,1,"Road-650 Red, 60",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2018-02
SO46057,2018-05-15,279,78,282,4,2,178.58,352.4,357.16,2018,2,"LL Road Frame - Black, 44",176.2,Black,Road Frames,Components,#000000,#FFFFFF,1,1,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,4.760000000000048,1.3327360286706371,2018-05
SO46988,2018-08-14,423,78,282,4,2,165.23,244.54,330.46,2018,3,ML Road Rear Wheel,122.27,Black,Wheels,Components,#000000,#FFFFFF,1,6,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,85.91999999999999,26.000121043394053,2018-08
SO48012,2018-11-13,373,78,282,4,2,1308.94,2641.37,2617.88,2018,4,"Road-250 Black, 44",1320.68,Black,Road Bikes,Bikes,#000000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-23.48999999999978,-0.8972909377053105,2018-11
SO49058,2019-02-04,381,78,282,4,2,600.26,1211.3,1200.52,2019,1,"Road-550-W Yellow, 38",605.65,Yellow,Road Bikes,Bikes,#FFFF00,#000000,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-10.779999999999973,-0.8979442241695242,2019-02
SO50226,2019-05-10,286,78,282,4,2,183.94,340.29,367.88,2019,2,"LL Road Frame - Black, 52",170.14,Black,Road Frames,Components,#000000,#FFFFFF,1,1,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,27.589999999999975,7.499728172230068,2019-05
SO43666,2017-07-05,338,511,282,4,2,419.46,826.3,838.92,2017,3,"Road-650 Black, 44",413.15,Black,Road Bikes,Bikes,#000000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.620000000000005,1.5043150717589289,2017-07
SO43859,2017-08-08,322,259,282,4,2,419.46,826.29,838.92,2017,3,"Road-650 Red, 60",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2017-08
SO43864,2017-08-12,292,384,282,4,2,818.7,1413.62,1637.4,2017,3,"HL Mountain Frame - Silver, 48",706.81,Silver,Mountain Frames,Components,#C0C0C0,#000000,1,3,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,223.7800000000002,13.666788811530486,2017-08
SO43872,2017-08-16,317,240,282,4,2,874.79,1769.42,1749.58,2017,3,"Road-450 Red, 44",884.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-19.840000000000146,-1.1339864424604846,2017-08
SO43901,2017-08-26,344,385,282,4,2,2039.99,3824.31,4079.98,2017,3,"Mountain-100 Silver, 38",1912.15,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,255.67000000000007,6.266452286530819,2017-08
SO43912,2017-08-29,229,403,282,4,2,28.84,63.45,57.68,2017,3,"Long-Sleeve Logo Jersey, M",31.72,Multi,Jerseys,Clothing,#BC8F8F,#000000,4,13,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-5.770000000000003,-10.003467406380032,2017-08
SO44080,2017-09-06,218,439,282,4,2,5.7,6.79,11.4,2017,3,"Mountain Bike Socks, M",3.4,White,Socks,Clothing,#FFFFFF,#000000,4,11,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,4.61,40.438596491228076,2017-09
SO44087,2017-09-09,310,96,282,4,2,2146.96,4342.59,4293.92,2017,3,"Road-150 Red, 62",2171.29,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-48.67000000000007,-1.1334631292618418,2017-09
SO44089,2017-09-10,342,114,282,4,2,419.46,826.29,838.92,2017,3,"Road-650 Black, 52",413.15,Black,Road Bikes,Bikes,#000000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2017-09
SO44115,2017-09-23,350,366,282,4,2,2024.99,3796.19,4049.98,2017,3,"Mountain-100 Black, 44",1898.09,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,253.78999999999996,6.266450698521966,2017-09
SO44286,2017-10-07,334,511,282,4,2,419.46,826.29,838.92,2017,4,"Road-650 Black, 60",413.15,Black,Road Bikes,Bikes,#000000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2017-10
SO44481,2017-11-01,350,492,282,4,2,2024.99,3796.19,4049.98,2017,4,"Mountain-100 Black, 44",1898.09,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,253.78999999999996,6.266450698521966,2017-11
SO44500,2017-11-06,326,259,282,4,2,419.46,826.29,838.92,2017,4,"Road-650 Red, 44",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2017-11
SO44505,2017-11-07,347,384,282,4,2,2039.99,3824.31,4079.98,2017,4,"Mountain-100 Silver, 48",1912.15,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,255.67000000000007,6.266452286530819,2017-11
SO44521,2017-11-13,232,240,282,4,2,28.84,63.45,57.68,2017,4,"Long-Sleeve Logo Jersey, L",31.72,Multi,Jerseys,Clothing,#BC8F8F,#000000,4,13,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-5.770000000000003,-10.003467406380032,2017-11
SO44546,2017-11-19,319,313,282,4,2,874.79,1769.42,1749.58,2017,4,"Road-450 Red, 52",884.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-19.840000000000146,-1.1339864424604846,2017-11
SO44551,2017-11-23,351,385,282,4,2,2024.99,3796.19,4049.98,2017,4,"Mountain-100 Black, 48",1898.09,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,253.78999999999996,6.266450698521966,2017-11
SO44564,2017-11-27,315,403,282,4,2,874.79,1769.42,1749.58,2017,4,"Road-450 Red, 58",884.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-19.840000000000146,-1.1339864424604846,2017-11
SO44752,2017-12-11,322,114,282,4,2,419.46,826.29,838.92,2017,4,"Road-650 Red, 60",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2017-12
SO44753,2017-12-12,238,96,282,4,2,758.08,1495.94,1516.16,2017,4,"HL Road Frame - Red, 62",747.97,Red,Road Frames,Components,#FF0000,#FFFFFF,1,1,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,20.220000000000027,1.3336323343182794,2017-12
SO44777,2017-12-23,232,366,282,4,2,28.84,63.45,57.68,2017,4,"Long-Sleeve Logo Jersey, L",31.72,Multi,Jerseys,Clothing,#BC8F8F,#000000,4,13,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-5.770000000000003,-10.003467406380032,2017-12
SO44790,2017-12-27,328,330,282,4,2,419.46,826.29,838.92,2017,4,"Road-650 Red, 48",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2017-12
SO45044,2018-01-05,285,511,282,4,2,178.58,352.4,357.16,2018,1,"LL Road Frame - Black, 52",176.2,Black,Road Frames,Components,#000000,#FFFFFF,1,1,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,4.760000000000048,1.3327360286706371,2018-01
SO45286,2018-02-08,324,259,282,4,2,419.46,826.29,838.92,2018,1,"Road-650 Red, 62",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2018-02
SO45290,2018-02-09,218,384,282,4,2,5.7,6.79,11.4,2018,1,"Mountain Bike Socks, M",3.4,White,Socks,Clothing,#FFFFFF,#000000,4,11,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,4.61,40.438596491228076,2018-02
SO45299,2018-02-12,232,240,282,4,2,28.84,63.45,57.68,2018,1,"Long-Sleeve Logo Jersey, L",31.72,Multi,Jerseys,Clothing,#BC8F8F,#000000,4,13,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-5.770000000000003,-10.003467406380032,2018-02
SO45311,2018-02-17,350,492,282,4,2,2024.99,3796.19,4049.98,2018,1,"Mountain-100 Black, 44",1898.09,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,253.78999999999996,6.266450698521966,2018-02
SO45324,2018-02-19,324,528,282,4,2,419.46,826.29,838.92,2018,1,"Road-650 Red, 62",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2018-02
SO45325,2018-02-20,319,313,282,4,2,874.79,1769.42,1749.58,2018,1,"Road-450 Red, 52",884.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-19.840000000000146,-1.1339864424604846,2018-02
SO45339,2018-02-24,336,403,282,4,2,419.46,826.29,838.92,2018,1,"Road-650 Black, 62",413.15,Black,Road Bikes,Bikes,#000000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2018-02
SO45523,2018-03-05,304,439,282,4,2,714.7,1234.06,1429.4,2018,1,"HL Mountain Frame - Black, 38",617.03,Black,Mountain Frames,Components,#000000,#FFFFFF,1,3,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,195.34000000000015,13.665873793199953,2018-03
SO45531,2018-03-07,322,114,282,4,2,419.46,826.29,838.92,2018,1,"Road-650 Red, 60",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2018-03
SO45555,2018-03-17,296,366,282,4,2,714.7,1234.06,1429.4,2018,1,"HL Mountain Frame - Black, 42",617.03,Black,Mountain Frames,Components,#000000,#FFFFFF,1,3,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,195.34000000000015,13.665873793199953,2018-03
SO45784,2018-04-05,334,511,282,4,2,419.46,826.29,838.92,2018,2,"Road-650 Black, 60",413.15,Black,Road Bikes,Bikes,#000000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2018-04
SO46058,2018-05-15,272,240,282,4,2,183.94,362.97,367.88,2018,2,"LL Road Frame - Red, 62",181.49,Red,Road Frames,Components,#FF0000,#FFFFFF,1,1,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,4.909999999999968,1.3346743503316212,2018-05
SO46069,2018-05-18,232,492,282,4,2,28.84,63.45,57.68,2018,2,"Long-Sleeve Logo Jersey, L",31.72,Multi,Jerseys,Clothing,#BC8F8F,#000000,4,13,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-5.770000000000003,-10.003467406380032,2018-05
SO46084,2018-05-23,322,313,282,4,2,419.46,826.29,838.92,2018,2,"Road-650 Red, 60",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2018-05
SO46085,2018-05-24,332,528,282,4,2,419.46,826.29,838.92,2018,2,"Road-650 Black, 58",413.15,Black,Road Bikes,Bikes,#000000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2018-05
SO46089,2018-05-25,232,385,282,4,2,28.84,63.45,57.68,2018,2,"Long-Sleeve Logo Jersey, L",31.72,Multi,Jerseys,Clothing,#BC8F8F,#000000,4,13,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-5.770000000000003,-10.003467406380032,2018-05
SO46101,2018-05-30,312,403,282,4,2,2146.96,4342.59,4293.92,2018,2,"Road-150 Red, 48",2171.29,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-48.67000000000007,-1.1334631292618418,2018-05
SO46339,2018-06-07,326,114,282,4,2,419.46,826.29,838.92,2018,2,"Road-650 Red, 44",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2018-06
SO46364,2018-06-19,344,366,282,4,2,850.0,3824.31,1700.0,2018,2,"Mountain-100 Silver, 38",1912.15,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-2124.31,-124.95941176470589,2018-06
SO46366,2018-06-19,322,674,282,4,2,419.46,826.29,838.92,2018,2,"Road-650 Red, 60",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,3,4,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,12.629999999999995,1.5055070805321122,2018-06
SO46606,2018-07-02,230,510,282,4,2,28.84,58.16,57.68,2018,3,"Long-Sleeve Logo Jersey, M",29.08,Multi,Jerseys,Clothing,#BC8F8F,#000000,4,13,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-0.4799999999999969,-0.832177531206652,2018-07
SO46942,2018-08-03,420,583,282,4,2,141.62,209.59,283.24,2018,3,ML Mountain Rear Wheel,104.8,Black,Wheels,Components,#000000,#FFFFFF,1,6,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,73.65,26.002683236830958,2018-08
SO46960,2018-08-08,271,259,282,4,2,202.33,374.31,404.66,2018,3,"LL Road Frame - Red, 60",187.16,Red,Road Frames,Components,#FF0000,#FFFFFF,1,1,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,30.350000000000023,7.500123560519947,2018-08
SO46970,2018-08-10,423,258,282,4,2,165.23,244.54,330.46,2018,3,ML Road Rear Wheel,122.27,Black,Wheels,Components,#000000,#FFFFFF,1,6,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,85.91999999999999,26.000121043394053,2018-08
